Number,Name,IPA,Evolves from,Evolves into,Total evolutionary stages,Evolutionary stage code,Baby,Legendary,Types,Weight lb,Height in,Percentage male,Percentage female,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total Power
368,Gorebyss,ˈɡɔːɹəbɪs,Clamperl,,2,2b,FALSE,FALSE,Water,49.8,71,50,50,55,84,105,114,75,52,485
369,Relicanth,ˈɹɛlɪkænθ,,,1,1a,FALSE,FALSE,"Water, Rock",51.6,39,87.5,12.5,100,90,130,45,65,55,485
370,Luvdisc,ˈlʌvdɪsk,,,1,1a,FALSE,FALSE,Water,19.2,24,25,75,43,30,55,40,65,97,330
371,Bagon,ˈbeɪɡɑːn,,Shelgon,3,3a,FALSE,FALSE,Dragon,92.8,24,50,50,45,75,60,40,30,50,300
372,Shelgon,ˈʃɛlɡɑːn,Bagon,Salamence,3,3b,FALSE,FALSE,Dragon,243.6,43,50,50,65,95,100,60,50,50,420
373,Salamence,ˈsæləmɛns,Shelgon,,3,3c,FALSE,FALSE,"Dragon, Flying",226.2,59,50,50,95,135,80,110,80,100,600
374,Beldum,ˈbɛldʌm,,Metang,3,3a,FALSE,FALSE,"Steel, Psychic",209.9,24,,,40,55,80,35,60,30,300
375,Metang,məˈtæŋ,Beldum,Metagross,3,3b,FALSE,FALSE,"Steel, Psychic",446.4,47,,,60,75,100,55,80,50,420
376,Metagross,ˈmɛtəɡroʊs,Metang,,3,3c,FALSE,FALSE,"Steel, Psychic",1212.5,63,,,80,135,130,95,90,70,600
377,Regirock,ˈɹɛdʒiːɹɑːk,,,1,1a,FALSE,TRUE,Rock,507.1,67,,,80,100,200,50,100,50,580
378,Regice,ˈɹɛdʒaɪs,,,1,1a,FALSE,TRUE,Ice,385.8,71,,,80,50,100,100,200,50,580
379,Registeel,ˈɹɛdʒiːstiːl,,,1,1a,FALSE,TRUE,Steel,451.9,75,,,80,75,150,75,150,50,580
380,Latias,ˈlɑːtiːɑːs,,,1,1a,FALSE,TRUE,"Dragon, Psychic",88.2,55,0,,80,80,90,110,130,110,600
381,Latios,ˈlɑːtiːoʊs,,,1,1a,FALSE,TRUE,"Dragon, Psychic",132.3,79,,0,80,90,80,130,110,110,600
382,Kyogre,kaɪˈoʊɡɚ,,,1,1a,FALSE,TRUE,Water,776,177,,,100,100,90,150,140,90,670
383,Groudon,ˈɡɹaʊdɑːn,,,1,1a,FALSE,TRUE,Ground,2094.4,138,,,100,150,140,100,90,90,670
384,Rayquaza,ɹeɪˈkweɪzə,,,1,1a,FALSE,TRUE,"Dragon, Flying",455.3,276,,,105,150,90,150,90,95,680
385,Jirachi,dʒɚˈɑːtʃiː,,,1,1a,FALSE,FALSE,"Steel, Psychic",2.4,12,,,100,100,100,100,100,100,600
386,Deoxys,diːˈɑːksɪs,,,1,1a,FALSE,FALSE,Psychic,134,67,,,50,150,50,150,50,150,600
387,Turtwig,ˈtɝːtwɪɡ,,Grotle,3,3a,FALSE,FALSE,Grass,22.5,16,87.5,12.5,55,68,64,45,55,31,318
388,Grotle,ˈɡɹɑːɾəl,Turtwig,Torterra,3,3b,FALSE,FALSE,Grass,213.8,43,87.5,12.5,75,89,85,55,65,36,405
389,Torterra,tɔːɹˈtɛɹə,Grotle,,3,3c,FALSE,FALSE,"Grass, Ground",683.4,87,87.5,12.5,95,109,105,75,85,56,525
390,Chimchar,ˈtʃɪmtʃɑːɹ,,Monferno,3,3a,FALSE,FALSE,Fire,13.7,0,87.5,12.5,44,58,44,58,44,61,309
391,Monferno,mɑːnˈfɝːnoʊ,Chimchar,Infernape,3,3b,FALSE,FALSE,"Fire, Fighting",48.5,0,87.5,12.5,64,78,52,78,52,81,405
392,Infernape,ɪnˈfɝːneɪp,Monferno,,3,3c,FALSE,FALSE,"Fire, Fighting",121.3,47,87.5,12.5,76,104,71,104,71,108,534
393,Piplup,ˈpɪplʌp,,Prinplup,3,3a,FALSE,FALSE,Water,11.5,16,87.5,12.5,53,51,53,61,56,40,314
394,Prinplup,ˈpɹɪnplʌp,Piplup,Empoleon,3,3b,FALSE,FALSE,Water,50.7,31,87.5,12.5,64,66,68,81,76,50,405
395,Empoleon,ɛmˈpɔːliːɑːn,Prinplup,,3,3c,FALSE,FALSE,"Water, Steel",186.3,67,87.5,12.5,84,86,88,111,101,60,530
396,Starly,ˈstɑːɹliː,,Staravia,3,3a,FALSE,FALSE,"Normal, Flying",4.4,12,50,50,40,55,30,30,30,60,245
397,Staravia,stɑːɹˈeɪviːə,Starly,Staraptor,3,3b,FALSE,FALSE,"Normal, Flying",34.2,24,50,50,55,75,50,40,40,80,340
398,Staraptor,stɑːɹˈæptɚ,Staravia,,3,3c,FALSE,FALSE,"Normal, Flying",54.9,47,50,50,85,120,70,50,50,100,475
399,Bidoof,ˈbiːduːf,,Bibarel,2,2a,FALSE,FALSE,Normal,44.1,20,50,50,59,45,40,35,40,31,250
400,Bibarel,ˈbiːbɛɹəl,Bidoof,,2,2b,FALSE,FALSE,"Normal, Water",69.4,39,50,50,79,85,60,55,60,71,410
401,Kricketot,ˈkɹɪkətɑːt,,Kricketune,2,2a,FALSE,FALSE,Bug,4.9,12,50,50,37,25,41,25,41,25,194
402,Kricketune,ˈkɹɪkətuːn,Kricketot,,2,2b,FALSE,FALSE,Bug,56.2,39,50,50,77,85,51,55,51,65,384
403,Shinx,ˈʃiːŋks,,Luxio,3,3a,FALSE,FALSE,Electric,20.9,20,50,50,45,65,34,40,34,45,263
404,Luxio,ˈlʌksiːoʊ,Shinx,Luxray,3,3b,FALSE,FALSE,Electric,67.2,35,50,50,60,85,49,60,49,60,363
405,Luxray,ˈlʌksɹeɪ,Luxio,,3,3c,FALSE,FALSE,Electric,92.6,55,50,50,80,120,79,95,79,70,523
406,Budew,bəˈduː,,Roselia,3,3a,TRUE,FALSE,"Grass, Poison",2.6,8,50,50,40,30,35,50,70,55,280
407,Roserade,ˈɹoʊzɹeɪd,Roselia,,3,3c,FALSE,FALSE,"Grass, Poison",32,35,50,50,60,70,55,125,105,90,505
408,Cranidos,ˈkɹeɪniːdoʊs,,Rampardos,2,2a,FALSE,FALSE,Rock,69.4,35,87.5,12.5,67,125,40,30,30,58,350
409,Rampardos,ræmˈpɑːɹdoʊs,Cranidos,,2,2b,FALSE,FALSE,Rock,226,63,87.5,12.5,97,165,60,65,50,58,495
410,Shieldon,ˈʃiːldɑːn,,Bastiodon,2,2a,FALSE,FALSE,"Rock, Steel",125.7,20,87.5,12.5,30,42,118,42,88,30,350
411,Bastiodon,ˈbæstiːoʊdɑːn,Shieldon,,2,2b,FALSE,FALSE,"Rock, Steel",329.6,51,87.5,12.5,60,52,168,47,138,30,495
412,Burmy,ˈbɝːmiː,,"Wormadam, Mothim",2,2a,FALSE,FALSE,Bug,7.5,8,50,50,40,29,45,29,45,36,224
413,Wormadam,ˈwɝːmədæm,Burmy,,2,2b,FALSE,FALSE,"Bug, Grass, Bug, Ground, Bug, Steel",14.3,20,0,,60,59,85,79,105,36,424
414,Mothim,ˈmɑːθɪm,Burmy,,2,2b,FALSE,FALSE,"Bug, Flying",51.4,35,,0,70,94,50,94,50,66,424
415,Combee,ˈkoʊmbiː,,Vespiquen,2,2a,FALSE,FALSE,"Bug, Flying",12.1,12,87.5,12.5,30,30,42,30,42,70,244
416,Vespiquen,ˈvɛspɪkwɛn,Combee,,2,2b,FALSE,FALSE,"Bug, Flying",84.9,47,0,,70,80,102,80,102,40,474
417,Pachirisu,pɑːtʃiˈɹiːsuː,,,1,1a,FALSE,FALSE,Electric,8.6,16,50,50,60,45,70,45,90,95,405
418,Buizel,ˈbwiːzəl,,Floatzel,2,2a,FALSE,FALSE,Water,65,28,50,50,55,65,35,60,30,85,330
419,Floatzel,ˈfloʊtsəl,Buizel,,2,2b,FALSE,FALSE,Water,73.9,43,50,50,85,105,55,85,50,115,495
420,Cherubi,tʃɚˈuːbiː,,Cherrim,2,2a,FALSE,FALSE,Grass,7.3,16,50,50,45,35,45,62,53,35,275
421,Cherrim,ˈtʃɛɹɪm,Cherubi,,2,2b,FALSE,FALSE,Grass,20.5,20,50,50,70,60,70,87,78,85,450
422,Shellos,ˈʃɛlɑːs,,Gastrodon,2,2a,FALSE,FALSE,Water,13.9,12,50,50,76,48,48,57,62,34,325
423,Gastrodon,ˈɡæstɹoʊdɑːn,Shellos,,2,2b,FALSE,FALSE,"Water, Ground",65.9,35,50,50,111,83,68,92,82,39,475
424,Ambipom,ˈæmbɪpɑːm,Aipom,,2,2b,FALSE,FALSE,Normal,44.8,47,50,50,75,100,66,60,66,115,482
425,Drifloon,ˈdɹɪfluːn,,Drifblim,2,2a,FALSE,FALSE,"Ghost, Flying",2.6,16,50,50,90,50,34,60,44,70,348
426,Drifblim,ˈdɹɪfblɪm,Drifloon,,2,2b,FALSE,FALSE,"Ghost, Flying",33.1,47,50,50,150,80,44,90,54,80,498
427,Buneary,bəˈnɪɹiː,,Lopunny,2,2a,FALSE,FALSE,Normal,12.1,16,50,50,55,66,44,44,56,85,350
428,Lopunny,ˈlɑːpəniː,Buneary,,2,2b,FALSE,FALSE,Normal,73.4,47,50,50,65,76,84,54,96,105,480
429,Mismagius,mɪsˈmæɡiːəs,Misdreavus,,2,2b,FALSE,FALSE,Ghost,9.7,35,50,50,60,60,60,105,105,105,495
430,Honchkrow,ˈhɑːntʃkɹoʊ,Murkrow,,2,2b,FALSE,FALSE,"Dark, Flying",60.2,35,50,50,100,125,52,105,52,71,505
431,Glameow,ˈɡlæmiːaʊ,,Purugly,2,2a,FALSE,FALSE,Normal,8.6,20,25,75,49,55,42,42,37,85,310
432,Purugly,pɚˈʌɡliː,Glameow,,2,2b,FALSE,FALSE,Normal,96.6,39,25,75,71,82,64,64,59,112,452
433,Chingling,ˈtʃɪŋlɪŋ,,Chimecho,2,2a,TRUE,FALSE,Psychic,1.3,8,50,50,45,30,50,65,50,45,285
434,Stunky,ˈstʌŋkiː,,Skuntank,2,2a,FALSE,FALSE,"Poison, Dark",42.3,16,50,50,63,63,47,41,41,74,329
435,Skuntank,ˈskʌntæŋk,Stunky,,2,2b,FALSE,FALSE,"Poison, Dark",83.8,39,50,50,103,93,67,71,61,84,479
436,Bronzor,ˈbɹɑːnzɔːɹ,,Bronzong,2,2a,FALSE,FALSE,"Steel, Psychic",133.4,20,,,57,24,86,24,86,23,300
437,Bronzong,ˈbɹɑːnzɑːŋ,Bronzor,,2,2b,FALSE,FALSE,"Steel, Psychic",412.3,51,,,67,89,116,79,116,33,500
438,Bonsly,ˈbɑːnslaɪ,,Sudowoodo,2,2a,TRUE,FALSE,Rock,33.1,20,50,50,50,80,95,10,45,10,290
439,Mime Jr.,maɪmˈdʒuːnjɚ,,Mr. Mime,3,3a,TRUE,FALSE,"Psychic, Fairy",28.7,24,50,50,20,25,45,70,90,60,310
440,Happiny,həˈpiːniː,,Chansey,3,3a,TRUE,FALSE,Normal,53.8,24,0,,100,5,5,15,65,30,220
441,Chatot,ˈtʃætɑːt,,,1,1a,FALSE,FALSE,"Normal, Flying",4.2,20,50,50,76,65,45,92,42,91,411
442,Spiritomb,ˈspɪɹətuːm,,,1,1a,FALSE,FALSE,"Ghost, Dark",238.1,39,50,50,50,92,108,92,108,35,485
443,Gible,ˈɡɪbəl,,Gabite,3,3a,FALSE,FALSE,"Dragon, Ground",45.2,28,50,50,58,70,45,40,45,42,300
444,Gabite,ɡəˈbaɪt,Gible,Garchomp,3,3b,FALSE,FALSE,"Dragon, Ground",123.5,55,50,50,68,90,65,50,55,82,410
445,Garchomp,ˈɡɑːɹtʃɑːmp,Gabite,,3,3c,FALSE,FALSE,"Dragon, Ground",209.4,75,50,50,108,130,95,80,85,102,600
446,Munchlax,ˈmʌntʃlæks,,Snorlax,2,2a,TRUE,FALSE,Normal,231.5,24,87.5,12.5,135,85,40,40,85,5,390
447,Riolu,ɹiːˈoʊluː,,Lucario,2,2a,TRUE,FALSE,Fighting,44.5,28,87.5,12.5,40,70,40,35,40,60,285
448,Lucario,luːˈkɑːɹiːoʊ,Riolu,,2,2b,FALSE,FALSE,"Fighting, Steel",119,47,87.5,12.5,70,110,70,115,70,90,525
449,Hippopotas,hɪpoʊpəˈtɑːs,,Hippowdon,2,2a,FALSE,FALSE,Ground,109.1,31,50,50,68,72,78,38,42,32,330
450,Hippowdon,hɪˈpaʊdɑːn,Hippopotas,,2,2b,FALSE,FALSE,Ground,661.4,79,50,50,108,112,118,68,72,47,525
451,Skorupi,skɔːɹˈuːpiː,,Drapion,2,2a,FALSE,FALSE,"Poison, Bug",26.5,31,50,50,40,50,90,30,55,65,330
452,Drapion,ˈdɹæpiːɑːn,Skorupi,,2,2b,FALSE,FALSE,"Poison, Dark",135.6,51,50,50,70,90,110,60,75,95,500
453,Croagunk,ˈkɹoʊɡʌŋk,,Toxicroak,2,2a,FALSE,FALSE,"Poison, Fighting",50.7,28,50,50,48,61,40,61,40,50,300
454,Toxicroak,ˈtɑːksɪkɹoʊk,Croagunk,,2,2b,FALSE,FALSE,"Poison, Fighting",97.9,51,50,50,83,106,65,86,65,85,490
455,Carnivine,ˈkɑːɹnɪvaɪn,,,1,1a,FALSE,FALSE,Grass,59.5,55,50,50,74,100,72,90,72,46,454
456,Finneon,ˈfɪniːɑːn,,Lumineon,2,2a,FALSE,FALSE,Water,15.4,16,50,50,49,49,56,49,61,66,330
457,Lumineon,luːˈmɪniːɑːn,Finneon,,2,2b,FALSE,FALSE,Water,52.9,47,50,50,69,69,76,69,86,91,460
458,Mantyke,ˈmæntɑɪk,,Mantine,2,2a,TRUE,FALSE,"Water, Flying",143.3,39,50,50,45,20,50,60,120,50,345
459,Snover,ˈsnoʊvɚ,,Abomasnow,2,2a,FALSE,FALSE,"Grass, Ice",111.3,39,50,50,60,62,50,62,60,40,334
460,Abomasnow,əˈbɑːməsnoʊ,Snover,,2,2b,FALSE,FALSE,"Grass, Ice",298.7,87,50,50,90,92,75,92,85,60,494
461,Weavile,ˈwiːvaɪl,Sneasel,,2,2b,FALSE,FALSE,"Dark, Ice",75,43,50,50,70,120,65,45,85,125,510
462,Magnezone,ˈmæɡnəzoʊn,Magneton,,3,3c,FALSE,FALSE,"Electric, Steel",396.8,47,,,70,70,115,130,90,60,535
463,Lickilicky,ˌlɪkiːˈlɪkiː,Lickitung,,2,2b,FALSE,FALSE,Normal,308.6,67,50,50,110,85,95,80,95,50,515
464,Rhyperior,ˈɹɑːɪpɪɹiːɚ,Rhydon,,3,3c,FALSE,FALSE,"Ground, Rock",623.5,94,50,50,115,140,130,55,55,40,535
465,Tangrowth,ˈtæŋɡroʊθ,Tangela,,2,2b,FALSE,FALSE,Grass,283.5,79,50,50,100,100,125,110,50,50,535
466,Electivire,ɪˈlɛktəvɑɪɹ,Electabuzz,,3,3c,FALSE,FALSE,Electric,305.6,71,75,25,75,123,67,95,85,95,540
467,Magmortar,mæɡˈmɔːɹtɚ,Magmar,,3,3c,FALSE,FALSE,Fire,149.9,63,75,25,75,95,67,125,95,83,540
468,Togekiss,ˈtoʊɡəkɪs,Togetic,,3,3c,FALSE,FALSE,"Fairy, Flying",83.8,59,87.5,12.5,85,50,95,120,115,80,545
469,Yanmega,jænˈmɛɡə,Yanma,,2,2b,FALSE,FALSE,"Bug, Flying",113.5,75,50,50,86,76,86,116,56,95,515
470,Leafeon,ˈliːfiːɑːn,Eevee,,2,2b,FALSE,FALSE,Grass,56.2,39,87.5,12.5,65,110,130,60,65,95,525
471,Glaceon,ˈɡleɪsiːɑːn,Eevee,,2,2b,FALSE,FALSE,Ice,57.1,31,87.5,12.5,65,60,110,130,95,65,525
472,Gliscor,ˈɡlaɪskɔːɹ,Gligar,,2,2b,FALSE,FALSE,"Ground, Flying",93.7,79,50,50,75,95,125,45,75,95,510
473,Mamoswine,ˈmæmoʊswaɪn,Piloswine,,3,3c,FALSE,FALSE,"Ice, Ground",641.5,98,50,50,110,130,80,70,60,80,530
474,Porygon-Z,ˌpɔːɹiːɡɑːnˈziː,Porygon2,,3,3c,FALSE,FALSE,Normal,75,35,,,85,80,70,135,75,90,535
475,Gallade,ɡəˈleɪd,Kirlia,,3,3c,FALSE,FALSE,"Psychic, Fighting",114.6,63,,0,68,125,65,65,115,80,518
476,Probopass,ˈpɹoʊboʊpæs,Nosepass,,2,2b,FALSE,FALSE,"Rock, Steel",749.6,55,50,50,60,55,145,75,150,40,525
477,Dusknoir,ˈdʌsknwɑːɹ,Dusclops,,3,3c,FALSE,FALSE,Ghost,235,87,50,50,45,100,135,65,135,45,525
478,Froslass,ˈfɹɑːslæs,Snorunt,,2,2b,FALSE,FALSE,"Ice, Ghost",58.6,51,0,,70,80,70,80,70,110,480
479,Rotom,ˈɹoʊtɑːm,,,1,1a,FALSE,FALSE,"Electric, Ghost, Electric, Fire, Electric, Water, Electric, Ice, Electric, Flying, Electric, Grass",0.7,12,,,50,50,77,95,77,91,440
480,Uxie,ˈjuːksiː,,,1,1a,FALSE,TRUE,Psychic,0.7,12,,,75,75,130,75,130,95,580
481,Mesprit,ˈmɛspɹɪt,,,1,1a,FALSE,TRUE,Psychic,0.7,12,,,80,105,105,105,105,80,580
482,Azelf,ˈæzɛlf,,,1,1a,FALSE,TRUE,Psychic,0.7,12,,,75,125,70,125,70,115,580
483,Dialga,diːˈɑːlɡə,,,1,1a,FALSE,TRUE,"Steel, Dragon",1505.8,213,,,100,120,120,150,100,90,680
484,Palkia,ˈpɑːlkiːə,,,1,1a,FALSE,TRUE,"Water, Dragon",740.8,165,,,90,120,100,150,120,100,680
485,Heatran,ˈhiːtɹæn,,,1,1a,FALSE,TRUE,"Fire, Steel",948,67,50,50,91,90,106,130,106,77,600
486,Regigigas,ˌɹɛdʒiːˈɡiːɡəs,,,1,1a,FALSE,TRUE,Normal,925.9,146,,,110,160,110,80,110,100,670
487,Giratina,ˌɡɪɹəˈtiːnə,,,1,1a,FALSE,TRUE,"Ghost, Dragon",1653.5,177,,,150,100,120,100,120,90,680
488,Cresselia,kɹɛsˈɛliːə,,,1,1a,FALSE,TRUE,Psychic,188.7,59,0,,120,70,120,75,130,85,600
489,Phione,fiːˈoʊneɪ,,,1,1a,FALSE,FALSE,Water,6.8,16,,,80,80,80,80,80,80,480
490,Manaphy,ˈmænəfiː,,,1,1a,FALSE,FALSE,Water,3.1,12,,,100,100,100,100,100,100,600
491,Darkrai,ˈdɑːɹkɹaɪ,,,1,1a,FALSE,FALSE,Dark,111.3,59,,,70,90,90,135,90,125,600
492,Shaymin,ˈʃeɪmɪn,,,1,1a,FALSE,FALSE,"Grass, Flying, Grass",4.6,8,,,100,100,100,100,100,100,600
493,Arceus,ˈɑːɹkiːəs,,,1,1a,FALSE,FALSE,Normal,705.5,126,,,120,120,120,120,120,120,720
494,Victini,vɪkˈtiːniː,,,1,1a,FALSE,FALSE,"Psychic, Fire",8.8,16,,,100,100,100,100,100,100,600
495,Snivy,ˈsnaɪviː,,Servine,3,3a,FALSE,FALSE,Grass,17.9,24,87.5,12.5,45,45,55,45,55,63,308
496,Servine,ˈsɝːvaɪn,Snivy,Serperior,3,3b,FALSE,FALSE,Grass,35.3,31,87.5,12.5,60,60,75,60,75,83,413
497,Serperior,sɚˈpɪɹiːɚ,Servine,,3,3c,FALSE,FALSE,Grass,138.9,130,87.5,12.5,75,75,95,75,95,113,528
498,Tepig,ˈtɛpɪɡ,,Pignite,3,3a,FALSE,FALSE,Fire,21.8,20,87.5,12.5,65,63,45,45,45,45,308
499,Pignite,pɪɡˈnaɪt,Tepig,Emboar,3,3b,FALSE,FALSE,"Fire, Fighting",122.4,39,87.5,12.5,90,93,55,70,55,55,418
500,Emboar,ˈɛmbɔːɹ,Pignite,,3,3c,FALSE,FALSE,"Fire, Fighting",330.7,63,87.5,12.5,110,123,65,100,65,65,528
501,Oshawott,ˈɑːʃəwɑːt,,Dewott,3,3a,FALSE,FALSE,Water,13,20,87.5,12.5,55,55,45,63,45,45,308
502,Dewott,ˈduwɑːt,Oshawott,Samurott,3,3b,FALSE,FALSE,Water,54,31,87.5,12.5,75,75,60,83,60,60,413
503,Samurott,ˈsæmɚɑːt,Dewott,,3,3c,FALSE,FALSE,"Water, Dark, Water",208.6,59,87.5,12.5,95,100,85,108,70,70,528
504,Patrat,pəˈtɹæt,,Watchog,2,2a,FALSE,FALSE,Normal,25.6,20,50,50,45,55,39,35,39,42,255
505,Watchog,ˈwɑːtʃɑːɡ,Patrat,,2,2b,FALSE,FALSE,Normal,59.5,43,50,50,60,85,69,60,69,77,420
506,Lillipup,ˈlɪliːpʌp,,Herdier,3,3a,FALSE,FALSE,Normal,9,16,50,50,45,60,45,25,45,55,275
507,Herdier,ˈhɝːdiːɚ,Lillipup,Stoutland,3,3b,FALSE,FALSE,Normal,32.4,35,50,50,65,80,65,35,65,60,370
508,Stoutland,ˈstaʊtlənd,Herdier,,3,3c,FALSE,FALSE,Normal,134.5,47,50,50,85,100,90,45,90,80,490
509,Purrloin,ˈpɝːlɔɪn,,Liepard,2,2a,FALSE,FALSE,Dark,22.3,16,50,50,41,50,37,50,37,66,281
510,Liepard,ˈlaɪpɚd,Purrloin,,2,2b,FALSE,FALSE,Dark,82.7,43,50,50,64,88,50,88,50,106,446
511,Pansage,ˈpænseɪdʒ,,Simisage,2,2a,FALSE,FALSE,Grass,23.1,24,87.5,12.5,50,53,48,53,48,64,316
512,Simisage,ˈsɪmiːseɪdʒ,Pansage,,2,2b,FALSE,FALSE,Grass,67.2,43,87.5,12.5,75,98,63,98,63,101,498
513,Pansear,ˈpænsɪɹ,,Simisear,2,2a,FALSE,FALSE,Fire,24.3,24,87.5,12.5,50,53,48,53,48,64,316
514,Simisear,ˈsɪmiːsɪɹ,Pansear,,2,2b,FALSE,FALSE,Fire,61.7,39,87.5,12.5,75,98,63,98,63,101,498
515,Panpour,ˈpænpɔːɹ,,Simipour,2,2a,FALSE,FALSE,Water,29.8,24,87.5,12.5,50,53,48,53,48,64,316
516,Simipour,ˈsɪmiːpɔːɹ,Panpour,,2,2b,FALSE,FALSE,Water,63.9,39,87.5,12.5,75,98,63,98,63,101,498
517,Munna,ˈmuːnə,,Musharna,2,2a,FALSE,FALSE,Psychic,51.3,24,50,50,76,25,45,67,55,24,292
518,Musharna,muːˈʃɑːɹnə,Munna,,2,2b,FALSE,FALSE,Psychic,133.4,43,50,50,116,55,85,107,95,29,487
519,Pidove,piːˈdʌv,,Tranquill,3,3a,FALSE,FALSE,"Normal, Flying",4.6,12,50,50,50,55,50,36,30,43,264
520,Tranquill,ˈtɹæŋkwɪl,Pidove,Unfezant,3,3b,FALSE,FALSE,"Normal, Flying",33.1,24,50,50,62,77,62,50,42,65,358
521,Unfezant,ʌnˈfɛzənt,Tranquill,,3,3c,FALSE,FALSE,"Normal, Flying",63.9,47,50,50,80,105,80,65,55,93,478
522,Blitzle,ˈblɪtsəl,,Zebstrika,2,2a,FALSE,FALSE,Electric,65.7,31,50,50,45,60,32,50,32,76,295
523,Zebstrika,zɛbˈstɹaɪkə,Blitzle,,2,2b,FALSE,FALSE,Electric,175.3,63,50,50,75,100,63,80,63,116,497
524,Roggenrola,ˌɹɑːɡənˈɹoʊlə,,Boldore,3,3a,FALSE,FALSE,Rock,39.7,16,50,50,55,75,85,25,25,15,280
525,Boldore,ˈboʊldɔːɹ,Roggenrola,Gigalith,3,3b,FALSE,FALSE,Rock,224.9,35,50,50,70,105,105,50,40,20,390
526,Gigalith,ˈɡɪɡəlɪθ,Boldore,,3,3c,FALSE,FALSE,Rock,573.2,67,50,50,85,135,130,60,70,25,505
527,Woobat,ˈwuːbæt,,Swoobat,2,2a,FALSE,FALSE,"Psychic, Flying",4.6,16,50,50,55,45,43,55,43,72,313
528,Swoobat,ˈswuːbæt,Woobat,,2,2b,FALSE,FALSE,"Psychic, Flying",23.1,35,50,50,67,57,55,77,55,114,425
529,Drilbur,ˈdɹɪlbɚ,,Excadrill,2,2a,FALSE,FALSE,Ground,18.7,12,50,50,60,85,40,30,45,68,328
530,Excadrill,ˈɛksədrɪl,Drilbur,,2,2b,FALSE,FALSE,"Ground, Steel",89.1,28,50,50,110,135,60,50,65,88,508
531,Audino,ˈɑːdɪnoʊ,,,1,1a,FALSE,FALSE,Normal,68.3,43,50,50,103,60,86,60,86,50,445
532,Timburr,ˈtɪmbɚ,,Gurdurr,3,3a,FALSE,FALSE,Fighting,27.6,24,75,25,75,80,55,25,35,35,305
533,Gurdurr,ˈɡɝːdɚ,Timburr,Conkeldurr,3,3b,FALSE,FALSE,Fighting,88.2,47,75,25,85,105,85,40,50,40,405
534,Conkeldurr,kɑːŋˈkɛldɚ,Gurdurr,,3,3c,FALSE,FALSE,Fighting,191.8,55,75,25,105,140,95,55,65,45,505
535,Tympole,ˈtɪmpɔːl,,Palpitoad,3,3a,FALSE,FALSE,Water,9.9,20,50,50,50,50,40,50,40,64,294
536,Palpitoad,ˈpælpətoʊd,Tympole,Seismitoad,3,3b,FALSE,FALSE,"Water, Ground",37.5,31,50,50,75,65,55,65,55,69,384
537,Seismitoad,ˈsaɪzmətoʊd,Palpitoad,,3,3c,FALSE,FALSE,"Water, Ground",136.7,59,50,50,105,85,75,85,75,74,499
538,Throh,ˈθɹoʊ,,,1,1a,FALSE,FALSE,Fighting,122.4,51,,0,120,100,85,30,85,45,465
539,Sawk,ˈsɑːk,,,1,1a,FALSE,FALSE,Fighting,112.4,55,,0,75,125,75,30,75,85,465
540,Sewaddle,səˈwɑːdəl,,Swadloon,3,3a,FALSE,FALSE,"Bug, Grass",5.5,12,50,50,45,53,70,40,60,42,310
541,Swadloon,swɑːdˈluːn,Sewaddle,Leavanny,3,3b,FALSE,FALSE,"Bug, Grass",16.1,20,50,50,55,63,90,50,80,42,380
542,Leavanny,liːˈvæniː,Swadloon,,3,3c,FALSE,FALSE,"Bug, Grass",45.2,47,50,50,75,103,80,70,70,92,490
543,Venipede,ˈvɛnɪpiːd,,Whirlipede,3,3a,FALSE,FALSE,"Bug, Poison",11.7,16,50,50,30,45,59,30,39,57,260
544,Whirlipede,ˈhwɝːlɪpiːd,Venipede,Scolipede,3,3b,FALSE,FALSE,"Bug, Poison",129,47,50,50,40,55,99,40,79,47,360
545,Scolipede,ˈskoʊlɪpiːd,Whirlipede,,3,3c,FALSE,FALSE,"Bug, Poison",442,98,50,50,60,90,89,55,69,112,475
546,Cottonee,ˈkɑːʔəniː,,Whimsicott,2,2a,FALSE,FALSE,"Grass, Fairy",1.3,12,50,50,40,27,60,37,50,66,280
547,Whimsicott,ˈhwɪmsɪkɑːt,Cottonee,,2,2b,FALSE,FALSE,"Grass, Fairy",14.6,28,50,50,60,67,85,77,75,116,480
548,Petilil,ˈpɛɾəlɪl,,Lilligant,2,2a,FALSE,FALSE,Grass,14.6,20,0,,45,35,50,70,50,30,280
549,Lilligant,ˈlɪləɡənt,Petilil,,2,2b,FALSE,FALSE,"Grass, Fighting, Grass",35.9,43,0,,70,60,75,110,75,90,480
550,Basculin,ˈbæskjuːlɪn,,Basculegion,2,2a,FALSE,FALSE,Water,39.7,39,50,50,70,92,65,80,55,98,460
551,Sandile,ˈsændaɪl,,Krokorok,3,3a,FALSE,FALSE,"Ground, Dark",33.5,28,50,50,50,72,35,35,35,65,292
552,Krokorok,ˈkɹɑːkoʊɹɑːk,Sandile,Krookodile,3,3b,FALSE,FALSE,"Ground, Dark",73.6,39,50,50,60,82,45,45,45,74,351
553,Krookodile,ˈkɹʊkoʊdaɪl,Krokorok,,3,3c,FALSE,FALSE,"Ground, Dark",212.3,59,50,50,95,117,70,65,70,92,509
554,Darumaka,dɑːɹuːˈmɑːkə,,Darmanitan,2,2a,FALSE,FALSE,"Fire,, Ice",82.7,24,50,50,70,90,45,15,45,50,315
